Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,CarbonEmission,"['Grill', 'Airfryer']","['Microwave', 'Grill', 'Airfryer']",['Microwave'],"['Oven', 'Grill', 'Airfryer']","['Oven', 'Microwave', 'Grill', 'Airfryer']","['Oven', 'Microwave']",['Oven'],"['Stove', 'Grill', 'Airfryer']","['Stove', 'Microwave', 'Grill', 'Airfryer']","['Stove', 'Microwave']","['Stove', 'Oven', 'Grill', 'Airfryer']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']","['Stove', 'Oven', 'Microwave']","['Stove', 'Oven']",['Stove'],[]
overweight,female,pescatarian,daily,coal,public,,often,230,frequently,210,large,4,7,26,1,No,['Metal'],2238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,114,rarely,9,extra large,3,9,38,5,No,['Metal'],1892,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overweight,male,omnivore,more frequently,wood,private,petrol,never,138,never,2472,small,1,14,47,6,Sometimes,['Metal'],2595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,157,rarely,74,medium,3,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",1074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,vegetarian,daily,coal,private,diesel,often,266,very frequently,8457,large,1,3,5,6,Yes,['Paper'],4743,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
overweight,male,vegetarian,less frequently,wood,public,,sometimes,144,frequently,658,large,1,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']",1647,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
underweight,female,vegan,less frequently,wood,private,hybrid,never,56,rarely,5363,medium,4,9,11,19,Sometimes,[],1832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,vegan,more frequently,coal,walk/bicycle,,sometimes,59,very frequently,54,extra large,3,5,39,15,No,"['Paper', 'Plastic', 'Glass']",2322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overweight,male,omnivore,daily,wood,public,,never,200,frequently,1376,medium,3,3,31,15,Yes,['Glass'],2494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,pescatarian,daily,wood,public,,often,135,rarely,440,extra large,1,8,23,18,Sometimes,['Glass'],1178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegetarian,more frequently,wood,public,,never,146,never,1561,extra large,4,12,27,21,No,"['Paper', 'Plastic']",1427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
obese,male,vegetarian,more frequently,coal,walk/bicycle,,never,111,very frequently,69,medium,5,9,4,4,Sometimes,[],3226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
underweight,female,omnivore,twice a day,coal,walk/bicycle,,often,114,rarely,92,large,3,18,27,4,Yes,['Plastic'],1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,111,rarely,2893,large,6,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']",1732,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
obese,male,pescatarian,less frequently,natural gas,public,,often,123,rarely,1989,small,6,13,23,8,No,"['Paper', 'Plastic', 'Metal']",1743,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overweight,female,vegetarian,less frequently,electricity,public,,never,225,very frequently,692,small,6,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']",2101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,male,pescatarian,more frequently,electricity,walk/bicycle,,often,219,frequently,7,extra large,4,23,42,14,Sometimes,[],2609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
overweight,female,pescatarian,daily,wood,public,,often,104,rarely,948,large,6,1,6,22,Yes,['Paper'],1565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
underweight,male,vegan,more frequently,electricity,private,petrol,often,126,very frequently,7622,medium,2,6,37,9,Sometimes,[],5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
normal,female,omnivore,more frequently,wood,walk/bicycle,,often,288,never,51,small,4,15,22,6,No,"['Paper', 'Glass', 'Metal']",1220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,male,vegan,twice a day,electricity,private,electric,often,282,rarely,2237,large,6,0,8,5,No,"['Plastic', 'Glass', 'Metal']",1300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,pescatarian,less frequently,wood,public,,never,69,rarely,1804,large,1,6,3,7,No,['Metal'],1024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,110,never,85,small,3,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",706,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
obese,male,vegetarian,daily,coal,private,diesel,often,165,frequently,472,small,4,17,24,20,Yes,"['Paper', 'Glass']",2582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,5737,medium,1,5,20,20,Yes,"['Paper', 'Metal']",4284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,94,rarely,88,medium,6,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']",807,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
underweight,female,vegan,daily,electricity,public,,often,259,frequently,558,large,4,4,50,23,Sometimes,['Metal'],1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegetarian,less frequently,electricity,public,,sometimes,67,rarely,752,large,3,14,37,14,Sometimes,['Plastic'],1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
obese,male,pescatarian,daily,wood,walk/bicycle,,never,130,rarely,71,small,2,10,15,10,No,['Glass'],1490,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
