Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Vehicle Type,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Cooking_with_microwave,Cooking_with_oven,Cooking_with_grill,Cooking_with_airfryer,Cooking_with_stove,Do You Recyle_Plastic,Do You Recyle_Paper,Do You Recyle_Metal,Do You Recyle_Glass,Carbon Footprint (kg/month)
overweight,female,vegan,twice a day,natural gas,walk/bicycle,often,280,very frequently,167,petrol,large,1,7,10,9,Sometimes,1,1,1,0,0,1,1,0,0,375.04
obese,female,pescatarian,more frequently,wood,private,sometimes,277,never,2623,hybrid,large,8,1,10,8,Yes,1,1,0,1,1,1,1,0,1,2362.5
underweight,female,omnivore,more frequently,electricity,public,sometimes,202,frequently,1726,petrol,medium,9,3,0,11,Sometimes,0,0,1,1,1,0,0,0,0,1595.52
overweight,male,vegan,daily,natural gas,public,often,91,never,2284,None,medium,2,11,0,4,Sometimes,1,1,0,1,0,1,1,0,0,1935.74
overweight,male,omnivore,more frequently,electricity,private,sometimes,340,very frequently,1033,lpg,medium,5,4,6,12,No,0,1,0,0,1,0,0,0,1,1078.5
obese,male,vegan,twice a day,natural gas,private,sometimes,128,never,3192,None,medium,0,9,0,10,No,0,1,0,0,1,1,0,0,1,2631.27
underweight,male,vegan,daily,natural gas,walk/bicycle,often,108,rarely,3014,electric,medium,5,10,9,12,Yes,1,0,1,0,0,0,1,0,1,2634.82
underweight,female,pescatarian,less frequently,natural gas,walk/bicycle,never,166,never,3244,lpg,small,8,9,4,5,Yes,1,0,0,1,0,0,1,0,1,2852.18
overweight,female,vegetarian,less frequently,coal,private,never,298,rarely,2900,None,medium,0,2,10,8,Yes,1,1,0,0,1,1,1,0,0,2525.56
normal,female,vegetarian,daily,coal,private,never,97,frequently,1608,diesel,large,4,11,7,0,Sometimes,0,0,1,1,1,0,0,0,0,1475.93
overweight,female,pescatarian,more frequently,natural gas,private,never,262,frequently,3795,electric,large,4,3,1,5,No,1,0,0,1,1,1,1,0,0,3252.23
overweight,male,vegan,daily,natural gas,public,never,308,very frequently,12,None,medium,10,5,3,7,Yes,1,0,0,1,0,0,0,0,1,242.86
overweight,female,vegetarian,daily,natural gas,walk/bicycle,often,73,never,3698,petrol,small,4,6,5,1,Yes,1,1,0,1,1,0,1,1,1,3101.89
overweight,male,vegetarian,more frequently,natural gas,private,often,424,rarely,4823,electric,small,6,3,6,0,Yes,0,1,1,1,0,1,0,0,1,4162.58
obese,female,vegetarian,less frequently,wood,private,sometimes,285,rarely,2717,None,large,1,8,4,11,Sometimes,1,0,1,1,1,1,0,0,0,2358.54
underweight,female,pescatarian,daily,wood,public,never,246,very frequently,3697,hybrid,large,0,10,7,3,Yes,1,1,0,0,0,0,1,0,1,3165.75
obese,female,omnivore,less frequently,wood,private,often,406,never,565,petrol,large,4,7,9,2,Sometimes,0,1,0,0,0,1,1,1,1,743.5
obese,male,omnivore,twice a day,coal,walk/bicycle,often,82,rarely,2872,None,small,4,12,2,11,Yes,0,1,0,0,1,0,1,0,0,2450.4
obese,male,omnivore,more frequently,electricity,public,never,375,very frequently,4788,None,small,7,9,6,1,No,0,1,1,0,1,0,0,0,0,4112.75
overweight,female,omnivore,twice a day,natural gas,private,often,224,very frequently,3594,electric,small,2,6,10,7,Yes,0,0,0,0,0,0,0,0,0,3081.32
normal,female,omnivore,less frequently,wood,walk/bicycle,sometimes,102,never,4577,lpg,small,4,10,6,5,Sometimes,1,1,0,0,0,0,0,1,0,3802.15
underweight,female,vegetarian,twice a day,wood,walk/bicycle,sometimes,222,never,1625,electric,extra large,10,2,1,7,Yes,0,1,0,1,0,1,0,0,0,1543.81
normal,male,vegetarian,twice a day,wood,public,never,260,never,2134,diesel,extra large,4,11,0,9,Sometimes,1,1,0,0,0,0,1,1,1,1912.57
obese,male,vegan,twice a day,natural gas,walk/bicycle,never,362,rarely,3497,petrol,extra large,3,0,1,8,Sometimes,1,0,0,1,1,0,1,0,0,3020.14
obese,male,vegetarian,daily,natural gas,public,never,262,very frequently,4782,electric,small,3,10,9,12,Yes,0,1,0,0,1,1,0,0,0,4092.38
normal,female,pescatarian,daily,electricity,walk/bicycle,sometimes,247,never,1079,petrol,medium,1,8,10,3,Sometimes,1,1,1,1,1,0,1,0,0,1074.15
normal,male,vegan,more frequently,coal,private,often,345,frequently,2848,lpg,medium,1,6,2,9,Sometimes,0,1,0,1,0,1,1,1,0,2460.99
normal,female,vegetarian,less frequently,electricity,public,sometimes,52,never,2776,diesel,extra large,10,8,6,11,Sometimes,1,0,1,1,1,0,0,1,0,2463.19
obese,male,vegan,less frequently,natural gas,walk/bicycle,never,98,rarely,609,petrol,extra large,3,5,0,5,Yes,1,0,1,0,0,1,0,0,1,580.87
obese,female,vegan,more frequently,electricity,public,often,63,never,3942,diesel,small,6,8,9,7,Yes,0,1,1,1,1,1,1,0,0,3359.44
underweight,female,omnivore,less frequently,wood,walk/bicycle,sometimes,430,never,1348,lpg,extra large,2,1,0,11,No,0,0,0,1,1,0,0,0,1,1299.46
underweight,male,vegan,less frequently,electricity,public,never,453,frequently,2924,petrol,small,5,10,8,8,Yes,1,1,1,0,1,0,0,1,0,2691.95
obese,female,vegetarian,twice a day,wood,private,never,255,frequently,2363,lpg,small,4,3,4,6,Yes,0,0,0,0,1,1,1,1,1,2057.68
normal,female,omnivore,twice a day,electricity,public,often,243,rarely,2010,lpg,small,1,10,8,6,Yes,1,1,1,1,1,0,1,0,0,1818.96
normal,female,vegetarian,less frequently,wood,public,sometimes,330,never,2980,None,small,5,7,7,0,Sometimes,0,1,0,0,0,0,1,1,1,2639.94
underweight,male,omnivore,more frequently,electricity,private,often,309,never,1524,diesel,extra large,6,6,8,1,No,0,0,0,0,1,0,1,0,0,1453.94
obese,female,vegetarian,more frequently,coal,walk/bicycle,often,474,frequently,1707,lpg,medium,2,0,10,9,Yes,1,0,0,1,1,1,0,1,0,1662.39
underweight,male,omnivore,less frequently,electricity,private,sometimes,296,never,2465,lpg,medium,7,10,8,4,No,0,0,1,0,0,1,0,1,1,2268.14
underweight,male,omnivore,more frequently,natural gas,public,sometimes,112,rarely,348,electric,extra large,3,3,4,6,No,1,1,1,1,1,1,0,0,1,443.06
overweight,female,pescatarian,more frequently,natural gas,private,sometimes,481,frequently,550,petrol,small,2,5,9,8,Sometimes,0,1,1,0,1,1,0,1,0,724.4
overweight,male,vegetarian,twice a day,wood,private,often,104,very frequently,3218,None,extra large,2,3,8,9,Yes,1,1,0,0,0,1,1,1,1,2719.68
overweight,female,vegan,more frequently,natural gas,public,often,307,very frequently,1682,None,extra large,3,5,0,10,No,1,0,1,1,0,1,1,1,1,1542.73
normal,male,omnivore,daily,wood,public,sometimes,72,very frequently,28,lpg,extra large,1,0,1,6,Yes,1,0,1,1,0,0,1,1,1,104.26
obese,female,vegetarian,twice a day,coal,private,sometimes,157,very frequently,3777,hybrid,medium,1,11,3,8,Yes,0,0,0,1,0,1,1,0,0,3170.53
obese,male,omnivore,daily,natural gas,public,often,225,frequently,4697,hybrid,extra large,4,8,6,0,Yes,1,0,0,0,1,0,0,0,1,3932.68
obese,female,pescatarian,less frequently,natural gas,walk/bicycle,sometimes,424,rarely,4588,electric,large,10,2,10,9,Sometimes,0,1,0,0,1,1,1,1,0,3950.25
obese,female,pescatarian,more frequently,wood,walk/bicycle,never,64,very frequently,2927,lpg,medium,6,4,3,9,No,1,1,1,0,1,1,1,1,1,2471.74
overweight,female,pescatarian,daily,coal,walk/bicycle,sometimes,356,very frequently,754,electric,large,9,2,6,11,Yes,1,0,1,0,0,1,0,0,1,864.97
normal,female,pescatarian,more frequently,coal,walk/bicycle,never,201,never,1249,hybrid,large,4,7,8,5,No,0,0,0,0,1,1,1,1,0,1253.95
normal,male,vegan,daily,electricity,private,never,325,rarely,3403,petrol,small,8,4,8,7,No,0,0,1,0,1,1,0,1,0,3013.55
overweight,male,vegan,twice a day,wood,private,often,361,very frequently,4024,lpg,large,1,6,9,1,Sometimes,0,0,1,1,0,1,1,0,0,3406.96
normal,female,omnivore,less frequently,wood,private,often,87,frequently,4960,electric,small,7,10,1,8,Sometimes,1,1,1,0,1,0,1,0,0,4145.79
overweight,male,vegetarian,daily,coal,public,often,330,frequently,1800,petrol,extra large,7,11,3,1,Sometimes,1,0,1,1,0,1,1,1,1,1681.55
obese,female,pescatarian,twice a day,wood,private,sometimes,135,rarely,4609,electric,medium,6,2,1,10,Yes,1,1,0,1,0,1,1,1,1,3830.93
overweight,female,pescatarian,less frequently,natural gas,private,often,485,very frequently,276,petrol,medium,9,2,7,0,Sometimes,0,1,1,1,1,1,1,1,0,559.98
obese,male,vegan,daily,natural gas,public,sometimes,484,frequently,1362,petrol,extra large,3,10,9,10,Yes,1,1,1,1,0,1,0,1,1,1446.57
obese,male,vegan,daily,natural gas,public,often,480,never,4813,electric,extra large,6,1,5,5,No,1,0,1,0,0,0,0,1,0,4117.56
underweight,female,pescatarian,twice a day,wood,public,never,373,frequently,2384,hybrid,large,5,9,4,4,Yes,0,1,1,1,1,1,0,0,1,2156.64
